label,message
fraud,"hello,i,m,bank,manager,of,sbi,ur,debit,card,is,about,to,expire,would,u,want,to,issue,new,card"
fraud,"todays,vodafone,numbers,ending,with,4882,are,selected,to,a,receive,a,350,award,if,your,number,matches,call,09064019014,to,receive,your,350,award"
fraud,"you,have,won,1000,cash,or,a,2000,prize,to,claim,call,09050000327"
fraud,"hello,sir,i,am,from,jio,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,airtel,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,idea,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,vodafone,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,bsnl,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,mtnl,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,jio,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,airtel,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,idea,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,vodafone,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,bsnl,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,"hello,sir,i,am,from,jio,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,"hello,sir,i,am,from,airtel,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,"hello,sir,i,am,from,idea,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,"hello,sir,i,am,from,vodafone,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,"hello,sir,i,am,from,bsnl,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,"hello,sir,this,is,your,hdfc,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,"hello,sir,this,is,your,icici,bank,manager,your,kyc,has,been,expiredso,you,shave,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,"hello,sir,this,is,your,axis,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,"hello,sir,this,is,your,uniun,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,"hello,sir,this,is,your,sbi,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,"hello,sir,this,is,your,allahabad,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,"hello,sir,are,you,using,bhimupi,sir,you,have,to,upgrate,your,bhimupi,othr,wise,you,account,will,be,block"
fraud,"hello,sir,tell,me,your,creditdebit,card,mobile,number,and,aadhar,card"
fraud,"hello,i,am,from,income,text,department,you,have,not,registered,your,aadhar,to,your,pan,card,please,tell,me,your,aadhar,number,to,coonect,to,your,pan,card"
fraud,"hello,sir,i,am,from,bank,please,tell,me,your,card,cvv,number,for,your,bank,verification"
fraud,"hello,sir,i,am,from,union,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,sbi,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,hdfc,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,india,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,obi,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,allahabad,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,bank,of,baroda,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,"hello,sir,i,am,from,unoin,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,"hello,sir,i,am,from,sbi,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,"hello,sir,i,am,from,axis,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,"hello,sir,i,am,from,hdfc,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,"hello,sir,i,am,from,bank,of,baroda,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,"hello,sir,i,am,from,paytm,there,are,offer,in,paytm,upgrade,your,account,so,you,can,enjoy,better,cashback,offrs"
fraud,"you,won,a,lucky,draw,for,shopping,on,an,amazon,provide,your,bank,details,for,deposit,your,amount,towards,logistics,charge"
fraud,"you,won,a,lucky,draw,for,shopping,on,an,flipkard,provide,your,bank,details,for,deposit,your,amount,towards,logistics,charge"
fraud,"you,won,a,lucky,draw,for,shopping,on,an,myntra,provide,your,bank,details,for,deposit,your,amount,towards,logistics,charge"
fraud,"hello,sir,we,are,from,covid19,health,care,center,for,vaccination,call,7845963214"
fraud,"hello,sir,i,am,from,covid19,center,you,have,filled,the,form,for,vaccination,we,are,for,vefication,of,your,document"
fraud,"hello,sir,i,am,from,covid19,center,those,who,are,vaccinated,they,will,get,money,by,indian,goverment,please,tell,me,account,detail,to,deposit,money,in,your,account"
fraud,"hello,sir,i,am,from,covid19,center,for,vaccination,you,have,to,pay,money,please,pay,your,money,on,this,upi,myupiaxis"
fraud,"hello,you,have,won,10000,inr,do,you,want,to,deposit,it,in,your,bank,account"
fraud,"give,me,your,bank,account,number,and,debit,card,number,for,deposit,money,in,your,bank,account"
fraud,"hello,siri,am,from,sbi,bankdo,you,want,a,new,credit,cardgive,your,aadhar,and,mobile,number,for,issue,a,credit,card"
fraud,"hello,sir,to,get,a,500,inr,voucher,for,play,rummy,go,to,this,link,httpxyzabc"
fraud,"hello,i,am,from,indian,army,by,mistakely,i,have,given,your,mobile,number,in,amozon,during,online,shopping,that,why,you,have,got,an,otp,please,tell,me,that,otp"
fraud,"as,a,valued,network,customer,you,have,been,selected,to,receive,9000,inr,prize,reward,to,claim,call,09061701461,claim,code,kl341,valid,12,hours,only"
fraud,"had,your,mobile,11,months,or,more,you,are,entitled,to,update,to,the,latest,colour,mobiles,with,camera,for,free,call,the,mobile,update,co,free,on,08002986030"
fraud,"congrats,1,year,special,cinema,pass,for,2,is,yours,dont,miss,out"
fraud,"hi,babe,i,am,at,home,now,wanna,do,something,xxx"
fraud,"your,2004,account,statement,for,07742676969,shows,786,unredeemed,bonus,points,to,claim,call,08719180248,identifier,code,45239,expires"
fraud,"your,mobile,no,was,awarded,2000,inr,bonus,caller,prize,on,590021,this,is,our,final,try,to,contact,u,download,xyz,application,to,get,it"
fraud,"todays,vodafone,numbers,ending,7548,are,selected,to,receive,a,350,award,if,you,have,a,match,please,call,08712300220,quoting,claim,code,4041,standard,rates,app"
fraud,"sunshine,quiz,weekly,quize,win,a,top,sony,dvd,call,789654123"
fraud,"customer,service,annoncement,you,have,a,new,years,delivery,waiting,for,you,please,call,07046744435,now,to,arrange,delivery"
fraud,"you,are,a,winner,you,have,been,specially,selected,to,receive,1000,cash,or,a,4,holiday,flights,inc,speak,to,a,live,operator,to,claim,0871277810810"
fraud,"sir,i,need,axis,bank,account,number,and,bank,address"
fraud,"please,call,our,customer,service,representative,on,freephone,0808,145,4742,between,9am11pm,as,you,have,won,a,guaranteed,1000,rupees,cash,or,5000,prize"
fraud,"congratulations,you,are,awarded,500,of,cd,vouchers,or,125gift,guaranteed,free,entry,to,100,wkly,draw,txt,music,to,87066,tncs,wwwldewcom1win150ppmx3age16"
fraud,"we,tried,to,contact,you,are,your,reply,to,our,offer,of,a,video,handset,750,anytime,networks,mins,unlimited,text,camcorder"
fraud,"hey,i,am,really,horny,want,to,chat,or,see,me,naked,text,hot,to,69698,text,charged,at,150pm,to,unsubscribe,text,stop,69698"
fraud,"your,ringtone,service,has,changed,25,free,credits,go,to,club4mobilescom,to,choose,content,now,stop"
fraud,"ringtone,club,get,the,uk,singles,chart,on,your,mobile,each,week,and,choose,any,top,quality,ringtone,this,message,is,free,of,charge"
fraud,"themob,check,out,our,newest,selection,of,content,games,tones,gossip,babes,and,sport,keep,your,mobile,fit,and,funky,text,wap,to,82468"
fraud,"think,your,smart,win,200,this,week,in,our,weekly,quiz,text,play,to,85222,nowtcs,winnersclub,po,box,84,m26,3uz,16,gbp150week"
fraud,"valentines,day,special,win,over,1000,in,our,quiz,and,take,your,partner,on,the,trip,of,a,lifetime,send,go,to,83600,now,150pmsg,received,custcare08718720201"
fraud,"congratulations,you,are,awarded,500,of,cd,vouchers,or,125gift,guaranteed,free,entry,2,100,wkly,draw,txt,music,to,87066,tncs,wwwldewcom1win150ppmx3age16"
fraud,"you,are,cashbalance,is,currently,500,inr,to,maximize,ur,cashin,now,send,cash,to,86688,only,150pmsg,cc,08708800282,hgsuite3422lands,roww1j6hl"
fraud,"thanks,for,your,ringtone,order,reference,t91,you,will,be,charged,gbp,4,per,week,you,can,unsubscribe,at,anytime,by,calling,customer,services,on,09057039994"
fraud,"double,mins,and,texts,for,six,months,free,bluetooth,on,orange,available,on,sony,nokia,motorola,phones,call,mobileupd8,on,08000839402,or,call2optoutn9dx"
fraud,"four,months,half,price,orange,line,rental,latest,camera,phones,4,free,had,your,phone,11mths,call,mobilesdirect,free,on,08000938767,to,update,now"
fraud,"free,entry,into,our,250,weekly,competition,just,text,the,word,win,to,80086,now,18,tc,wwwtxttowincouk"
fraud,"send,a,logo,your,lover,two,names,joined,by,a,heart,text,love,name1,name2,mobno,eg,love,adam,eve,07123456789,to,87077,yahoo,pobox36504w45wq,txtno,4,no,ads,150p"
fraud,"someone,has,contacted,our,dating,service,and,entered,your,phone,because,they,fancy,you,to,find,out,who,it,is,call,from,a,landline,09111032124,pobox12n146tf150p"
fraud,"booked,ticket,for,pongal"
fraud,"you,available,now,i'm,like,right,around,hillsborough,amp,ltgt,th"
fraud,"ok,mail,dear,dave,this,is,your,final,notice,to,collect,your,4,tenerife,holiday,or,5000,cash,award,call,09061743806,from,landline"
fraud,"free,message,activate,your,500,free,text,messages,by,replying,to,this,message,with,the,word,free,for,terms,conditions,visit,www07781482378com"
fraud,"urgent,your,mobile,number,was,awarded,a,2000,bonus,caller,prize,on,020903,this,is,our,second,attempt,to,contact,you,call,08718729755,box95qu"
fraud,"today's,offer,claim,your,150,worth,of,discount,vouchers,text,yes,to,85023,now,savamob,member,offers,mobile,t,cs,08717898035,300,sub,16,unsub,reply,x"
fraud,"you,will,recieve,your,tone,within,the,next,24hrs,for,terms,and,conditions,please,see,channel,you,teletext,pg,750"
fraud,"you,have,won,1000,cash,or,a,2000,prize,to,claim,call,09050000327"
fraud,"our,mobile,number,has,won,5000,to,claim,calls,us,back,or,ring,the,claims,hot,line,on,09050005321"
fraud,"we,tried,to,contact,you,are,your,reply,to,our,offer,of,750,mins,150,textand,a,new,video,phone,call,08002988890,now,or,reply,for,free,delivery,tomorrow"
fraud,"for,your,chance,to,win,a,250,wkly,shopping,spree,text,shop,to,80878,t'sc's,wwwtxt2shopcom,custcare,08715705022,1x150pwk"
fraud,"you,have,been,specially,selected,to,receive,a,2000,pound,award,call,08712402050,before,the,lines,close,cost,10ppm,16,tcs,apply,ag,promo"
fraud,"you,have,an,important,customer,service,announcement,call,freephone,0800,542,0825,now"
