label,year,message
fraud,2015,"hello,i,m,bank,manager,of,sbi,ur,debit,card,is,about,to,expire,would,u,want,to,issue,new,card"
fraud,2023,"todays,vodafone,numbers,ending,with,4882,are,selected,to,a,receive,a,350,award,if,your,number,matches,call,09064019014,to,receive,your,350,award"
fraud,2015,"you,have,won,1000,cash,or,a,2000,prize,to,claim,call,09050000327"
fraud,2019,"hello,sir,i,am,from,jio,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,2023,"hello,sir,i,am,from,airtel,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,2013,"hello,sir,i,am,from,idea,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,2011,"hello,sir,i,am,from,vodafone,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,2021,"hello,sir,i,am,from,bsnl,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,2013,"hello,sir,i,am,from,mtnl,customer,care,in,23,hours,your,sim,will,be,closed,do,u,want,to,activate,it"
fraud,2013,"hello,sir,i,am,from,jio,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,2021,"hello,sir,i,am,from,airtel,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,2021,"hello,sir,i,am,from,idea,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,2015,"hello,sir,i,am,from,vodafone,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,2022,"hello,sir,i,am,from,bsnl,customer,care,in,23,hours,your,sim,will,be,deactivate,do,u,want,to,activate,it"
fraud,2024,"hello,sir,i,am,from,jio,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,2023,"hello,sir,i,am,from,airtel,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,2019,"hello,sir,i,am,from,idea,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,2014,"hello,sir,i,am,from,vodafone,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,2019,"hello,sir,i,am,from,bsnl,customer,care,center,we,are,doing,verification,of,yours,number,that's,why,in,your,phone,four,digit,opt,will,have,send,tell,me,that,otp"
fraud,2019,"hello,sir,this,is,your,hdfc,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,2025,"hello,sir,this,is,your,icici,bank,manager,your,kyc,has,been,expiredso,you,shave,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,2022,"hello,sir,this,is,your,axis,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,2025,"hello,sir,this,is,your,uniun,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,2018,"hello,sir,this,is,your,sbi,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,2024,"hello,sir,this,is,your,allahabad,bank,manager,your,kyc,has,been,expiredso,you,have,to,kyc,your,self,but,due,to,covid,setuation,we,are,doing,kyc,online,pleae,tell,me,your,account,detail"
fraud,2018,"hello,sir,are,you,using,bhimupi,sir,you,have,to,upgrate,your,bhimupi,othr,wise,you,account,will,be,block"
fraud,2020,"hello,sir,tell,me,your,creditdebit,card,mobile,number,and,aadhar,card"
fraud,2022,"hello,i,am,from,income,text,department,you,have,not,registered,your,aadhar,to,your,pan,card,please,tell,me,your,aadhar,number,to,coonect,to,your,pan,card"
fraud,2013,"hello,sir,i,am,from,bank,please,tell,me,your,card,cvv,number,for,your,bank,verification"
fraud,2024,"hello,sir,i,am,from,union,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2018,"hello,sir,i,am,from,sbi,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2025,"hello,sir,i,am,from,hdfc,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2016,"hello,sir,i,am,from,india,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2024,"hello,sir,i,am,from,obi,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2019,"hello,sir,i,am,from,allahabad,bank,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2016,"hello,sir,i,am,from,bank,of,baroda,sir,i,have,call,you,for,your,bank,account,verification,do,you,want,verify,your,account,sir,then,tell,me,your,aadhar,card,number,and,pan,card,and,your,debitcredit,card,number"
fraud,2024,"hello,sir,i,am,from,unoin,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,2013,"hello,sir,i,am,from,sbi,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,2011,"hello,sir,i,am,from,axis,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,2020,"hello,sir,i,am,from,hdfc,bank,of,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,2020,"hello,sir,i,am,from,bank,of,baroda,india,do,you,have,fill,application,form,for,loan,i,called,you,for,verify,your,document,tell,me,your,aadhar,number,and,otp,of,your,mobile,number"
fraud,2022,"hello,sir,i,am,from,paytm,there,are,offer,in,paytm,upgrade,your,account,so,you,can,enjoy,better,cashback,offrs"
fraud,2016,"you,won,a,lucky,draw,for,shopping,on,an,amazon,provide,your,bank,details,for,deposit,your,amount,towards,logistics,charge"
fraud,2023,"you,won,a,lucky,draw,for,shopping,on,an,flipkard,provide,your,bank,details,for,deposit,your,amount,towards,logistics,charge"
fraud,2017,"you,won,a,lucky,draw,for,shopping,on,an,myntra,provide,your,bank,details,for,deposit,your,amount,towards,logistics,charge"
fraud,2022,"hello,sir,we,are,from,covid19,health,care,center,for,vaccination,call,7845963214"
fraud,2024,"hello,sir,i,am,from,covid19,center,you,have,filled,the,form,for,vaccination,we,are,for,vefication,of,your,document"
fraud,2011,"hello,sir,i,am,from,covid19,center,those,who,are,vaccinated,they,will,get,money,by,indian,goverment,please,tell,me,account,detail,to,deposit,money,in,your,account"
fraud,2016,"hello,sir,i,am,from,covid19,center,for,vaccination,you,have,to,pay,money,please,pay,your,money,on,this,upi,myupiaxis"
fraud,2016,"hello,you,have,won,10000,inr,do,you,want,to,deposit,it,in,your,bank,account"
fraud,2025,"give,me,your,bank,account,number,and,debit,card,number,for,deposit,money,in,your,bank,account"
fraud,2017,"hello,siri,am,from,sbi,bankdo,you,want,a,new,credit,cardgive,your,aadhar,and,mobile,number,for,issue,a,credit,card"
fraud,2011,"hello,sir,to,get,a,500,inr,voucher,for,play,rummy,go,to,this,link,httpxyzabc"
fraud,2014,"hello,i,am,from,indian,army,by,mistakely,i,have,given,your,mobile,number,in,amozon,during,online,shopping,that,why,you,have,got,an,otp,please,tell,me,that,otp"
fraud,2025,"as,a,valued,network,customer,you,have,been,selected,to,receive,9000,inr,prize,reward,to,claim,call,09061701461,claim,code,kl341,valid,12,hours,only"
fraud,2016,"had,your,mobile,11,months,or,more,you,are,entitled,to,update,to,the,latest,colour,mobiles,with,camera,for,free,call,the,mobile,update,co,free,on,08002986030"
fraud,2018,"congrats,1,year,special,cinema,pass,for,2,is,yours,dont,miss,out"
fraud,2013,"hi,babe,i,am,at,home,now,wanna,do,something,xxx"
fraud,2016,"your,2004,account,statement,for,07742676969,shows,786,unredeemed,bonus,points,to,claim,call,08719180248,identifier,code,45239,expires"
